cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00031696,Mike Lee (R-Utah),116005,305000,210502,2014,S,Center for Responsive Politics,,464
N00030780,Cory Gardner (R-Colo),24018,394999,209508,2014,S,Center for Responsive Politics,,465
N00027894,Jim Jordan (R-Ohio),69007,345999,207503,2014,H,Center for Responsive Politics,,466
N00030184,Cedric Richmond (D-La),52006,351998,202002,2014,H,Center for Responsive Politics,,467
N00034639,Donald M Payne Jr (D-NJ),117006,281000,199003,2014,H,Center for Responsive Politics,,468
N00030667,Adam Kinzinger (R-Ill),68005,329999,199002,2014,H,Center for Responsive Politics,,469
N00035820,Steve Knight (R-Calif),-525984,919996,197006,2014,H,Center for Responsive Politics,,470
N00033373,Tony Cardenas (D-Calif),1013,390998,196005,2014,H,Center for Responsive Politics,,471
N00033630,Richard Hudson (R-NC),82007,310000,196003,2014,H,Center for Responsive Politics,,472
N00028138,Brian Schatz (D-Hawaii),57015,334000,195507,2014,S,Center for Responsive Politics,,473
N00030418,Gregorio Sablan (D-MP),97006,280000,188503,2014,H,Center for Responsive Politics,,474
N00026368,Tim Walberg (R-Mich),56014,315000,185507,2014,H,Center for Responsive Politics,,475
N00031502,Kevin Yoder (R-Kan),-246972,615996,184512,2014,H,Center for Responsive Politics,,476
N00033281,Tulsi Gabbard (D-Hawaii),74008,293000,183504,2014,H,Center for Responsive Politics,,477
N00031177,Mark Amodei (R-Nev),-45991,411999,183004,2014,H,Center for Responsive Politics,,478
N00028133,Douglas L Lamborn (R-Colo),-107991,464998,178503,2014,H,Center for Responsive Politics,,479
N00033997,Pete Aguilar (D-Calif),-78990,429999,175504,2014,H,Center for Responsive Politics,,480
N00029404,Lee Zeldin (R-NY),100001,250000,175000,2014,H,Center for Responsive Politics,,481
N00031998,Chris Gibson (R-NY),100001,250000,175000,2014,H,Center for Responsive Politics,,482
N00001746,Chaka Fattah (D-Pa),100001,250000,175000,2014,H,Center for Responsive Politics,,483
N00031265,Robert Hurt (R-Va),27014,314999,171006,2014,H,Center for Responsive Politics,,484
N00030880,Trey Gowdy (R-SC),-49999,384998,167499,2014,H,Center for Responsive Politics,,485
N00000153,Richard E Neal (D-Mass),83010,249000,166005,2014,H,Center for Responsive Politics,,486
N00033532,James Bridenstine (R-Okla),30003,299999,165001,2014,H,Center for Responsive Politics,,487
N00007635,Amata Coleman Radewagen (R-AS),19019,285000,152009,2014,H,Center for Responsive Politics,,488
N00027467,Timothy J Walz (D-Minn),33007,269999,151503,2014,H,Center for Responsive Politics,,489
N00006701,Mark A Takano (D-Calif),16005,286998,151501,2014,H,Center for Responsive Politics,,490
N00027523,Albio Sires (D-NJ),81005,216000,148502,2014,H,Center for Responsive Politics,,491
